method,params,rmsre,lut,dsp
exp:exp_splitting+rec:rec_lookup,exp_ADDR_WIDTH_0=6;exp_ADDR_WIDTH_1=7;exp_ADDR_WIDTH_2=7;exp_WORD_WIDTH=22;rec_NUM_NEWTON_STEPS=1;rec_ADDR_WIDTH=10;rec_WORD_WIDTH=10,1.089289e-06,1264,10
exp:exp_splitting+rec:rec_lookup,exp_ADDR_WIDTH_0=6;exp_ADDR_WIDTH_1=7;exp_ADDR_WIDTH_2=7;exp_WORD_WIDTH=22;rec_NUM_NEWTON_STEPS=1;rec_ADDR_WIDTH=9;rec_WORD_WIDTH=14,1.097241e-06,1249,10
exp:exp_splitting+rec:rec_lookup,exp_ADDR_WIDTH_0=6;exp_ADDR_WIDTH_1=7;exp_ADDR_WIDTH_2=7;exp_WORD_WIDTH=22;rec_NUM_NEWTON_STEPS=1;rec_ADDR_WIDTH=9;rec_WORD_WIDTH=12,1.097618e-06,1224,10
exp:exp_splitting+rec:rec_lookup,exp_ADDR_WIDTH_0=6;exp_ADDR_WIDTH_1=7;exp_ADDR_WIDTH_2=7;exp_WORD_WIDTH=22;rec_NUM_NEWTON_STEPS=1;rec_ADDR_WIDTH=9;rec_WORD_WIDTH=10,1.106681e-06,1201,10
exp:exp_splitting+rec:rec_bipartite,exp_ADDR_WIDTH_0=6;exp_ADDR_WIDTH_1=7;exp_ADDR_WIDTH_2=7;exp_WORD_WIDTH=22;rec_NUM_NEWTON_STEPS=1;rec_ADDR_WIDTH_0=2;rec_ADDR_WIDTH_1=4;rec_ADDR_WIDTH_2=4;rec_WORD_WIDTH=12,1.125412e-06,1144,11
exp:exp_splitting+rec:rec_lookup,exp_ADDR_WIDTH_0=6;exp_ADDR_WIDTH_1=7;exp_ADDR_WIDTH_2=6;exp_WORD_WIDTH=22;rec_NUM_NEWTON_STEPS=1;rec_ADDR_WIDTH=9;rec_WORD_WIDTH=12,1.126370e-06,1200,10
exp:exp_splitting+rec:rec_lookup,exp_ADDR_WIDTH_0=6;exp_ADDR_WIDTH_1=7;exp_ADDR_WIDTH_2=6;exp_WORD_WIDTH=22;rec_NUM_NEWTON_STEPS=1;rec_ADDR_WIDTH=9;rec_WORD_WIDTH=10,1.135203e-06,1177,10
exp:exp_splitting+rec:rec_bipartite,exp_ADDR_WIDTH_0=6;exp_ADDR_WIDTH_1=7;exp_ADDR_WIDTH_2=6;exp_WORD_WIDTH=22;rec_NUM_NEWTON_STEPS=1;rec_ADDR_WIDTH_0=2;rec_ADDR_WIDTH_1=4;rec_ADDR_WIDTH_2=4;rec_WORD_WIDTH=12,1.153472e-06,1120,11
exp:exp_splitting+rec:rec_lookup,exp_ADDR_WIDTH_0=6;exp_ADDR_WIDTH_1=6;exp_ADDR_WIDTH_2=7;exp_WORD_WIDTH=22;rec_NUM_NEWTON_STEPS=1;rec_ADDR_WIDTH=9;rec_WORD_WIDTH=10,1.186881e-06,1161,10
exp:exp_splitting+rec:rec_bipartite,exp_ADDR_WIDTH_0=6;exp_ADDR_WIDTH_1=6;exp_ADDR_WIDTH_2=7;exp_WORD_WIDTH=22;rec_NUM_NEWTON_STEPS=1;rec_ADDR_WIDTH_0=2;rec_ADDR_WIDTH_1=4;rec_ADDR_WIDTH_2=4;rec_WORD_WIDTH=12,1.204366e-06,1104,11
